experiment_class,payment_rule,correlation,risk,player_position,batch_size,bne_utilities
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.2,1.0,1,8589934592,0.124998622
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.2,1.0,2,8589934592,0.5211024879999999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.3,1.0,0,8589934592,0.124999426
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.3,1.0,1,8589934592,0.125000045
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.3,1.0,2,8589934592,0.530577242
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.4,1.0,0,8589934592,0.1250027269999999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.4,1.0,1,8589934592,0.124999642
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.4,1.0,2,8589934592,0.539465249
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.5,1.0,0,8589934592,0.1250007
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.5,1.0,1,8589934592,0.125002638
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.5,1.0,2,8589934592,0.54781419
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.6,1.0,0,8589934592,0.124995328
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.6,1.0,1,8589934592,0.124998599
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.6,1.0,2,8589934592,0.555690348
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.7,1.0,0,8589934592,0.124995738
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.7,1.0,1,8589934592,0.124998383
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.7,1.0,2,8589934592,0.563149989
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.8,1.0,0,8589934592,0.125002205
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.8,1.0,1,8589934592,0.125001729
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.8,1.0,2,8589934592,0.570215762
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.9,1.0,0,8589934592,0.124997221
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.9,1.0,1,8589934592,0.124998093
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.9,1.0,2,8589934592,0.576934218
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,1.0,1.0,0,8589934592,0.041667301
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,1.0,1.0,1,8589934592,0.041667193
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,1.0,1.0,2,8589934592,0.583330095
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.7,1.0,0,8589934592,0.144180894
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.7,1.0,1,8589934592,0.144178525
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.7,1.0,2,8589934592,0.481636673
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.8,1.0,0,8589934592,0.145557225
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.8,1.0,1,8589934592,0.1455630809999999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.8,1.0,2,8589934592,0.481977165
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.9,1.0,0,8589934592,0.146883965
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.9,1.0,1,8589934592,0.146883175
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.9,1.0,2,8589934592,0.481911093
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,1.0,1.0,0,8589934592,0.074072875
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,1.0,1.0,1,8589934592,0.074072577
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,1.0,1.0,2,8589934592,0.481475294
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,vcg,0.5,1.0,0,8388608,0.229153574
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,vcg,0.5,1.0,1,8388608,0.229225233
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,vcg,0.5,1.0,2,8388608,0.312698334
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.0,1.0,0,4194304,0.1338277161121368
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.0,1.0,1,4194304,0.133861243724823
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.0,1.0,2,4194304,0.4639196097850799
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.5,1.0,0,8388608,0.1411969065666198
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.5,1.0,1,8388608,0.1412290781736374
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.5,1.0,2,8388608,0.4797596037387848
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.5,1.0,0,8388608,0.1520328521728515
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.5,1.0,1,8388608,0.152151957154274
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.5,1.0,2,8388608,0.4146971702575684
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.0,1.0,0,8388608,0.1333749741315841
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.0,1.0,1,8388608,0.1332021057605743
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.0,1.0,2,8388608,0.4673057198524475
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.1,1.0,0,8388608,0.1348814368247985
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.1,1.0,1,8388608,0.134769394993782
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.1,1.0,2,8388608,0.4705549478530884
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.2,1.0,0,8388608,0.1365174055099487
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.2,1.0,1,8388608,0.1365064829587936
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.2,1.0,2,8388608,0.4738653600215912
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.3,1.0,0,8388608,0.1380295008420944
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.3,1.0,1,8388608,0.138124793767929
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.3,1.0,2,8388608,0.4763376116752625
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.4,1.0,0,8388608,0.1396519988775253
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.4,1.0,1,8388608,0.1397342085838318
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.4,1.0,2,8388608,0.4782473146915436
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.6,1.0,0,4194304,0.142653614282608
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.6,1.0,1,4194304,0.1428058892488479
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.6,1.0,2,4194304,0.4806364774703979
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.7,1.0,0,4194304,0.1440349370241165
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.7,1.0,1,4194304,0.1441754400730133
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.7,1.0,2,4194304,0.4814211130142212
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.8,1.0,0,4194304,0.1453804671764373
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.8,1.0,1,4194304,0.1455157995223999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.8,1.0,2,4194304,0.4817179441452026
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.9,1.0,0,4194304,0.1467587798833847
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.9,1.0,1,4194304,0.1467857658863067
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,0.9,1.0,2,4194304,0.4816539287567138
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,1.0,1.0,0,4194304,0.0740187764167785
